OrganizationName,Description,Category,Technologies,Topics,CompletedProjects,OrganizationWebsite,OrganizationURL,Logo
libvirt,virtualization abstraction library,Cloud,"kvm , xen , hypervisor","virtualization , library",1,http://libvirt.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/6082542885142528/,lh3.googleusercontent.com/Dp1HXrFhIJQHJj-dhujvs-LYZcYdB3ZvSQUHxDg0fNmzVvV_NUdfX2IjvELWrX6hjinsIl9zjfri7ZggQ1ZIH_rzoha28f0
Liquid Galaxy Project,Get immersed in open-source!,Graphics / Video / Audio / Virtual Reality,"javascript , ros , gis , cesiumjs","virtual reality , geospatial , visualisation , graphics , webvr",3,https://github.com/LiquidGalaxy/liquid-galaxy/wiki,https://summerofcode.withgoogle.com/archive/2017/organizations/5279287632461824/,lh3.googleusercontent.com/dF_M1k4DI4n6DFp142kqqaNB87nexn8kUOqZwMH5yLct8UjJBFaOGbb9fjaRdXnK3OU_YdbSlGjBlHKxrfb6Oygf6Bj2SJo
LLVM Compiler Infrastructure,llvm,Programming Languages and Development Tools,"llvm , clang","compiler , compilers",8,http://www.llvm.org,https://summerofcode.withgoogle.com/archive/2017/organizations/6215410651234304/,lh3.googleusercontent.com/8XYivFpkxnMRScblvQM83rhs5ZL-osOkoiaz5-mE24xf5s3r8t5a7xtFoB6kxIFTr4cEvqY3dSMkqMhZMCqub88mKK_ALA
lowRISC,Creating a fully open-source SoC design,Other,"verilog , chisel , risc-v , linux","fpga , hardware , soc , security",4,http://www.lowrisc.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5688479367299072/,lh3.googleusercontent.com/5XUMSvocptXRSEOY-d4oyKP_35FqBJ07k6EscBdNa3ITNagEfLtrA9yshpKLYu0tT1T5i9ddO9_32UHa-iMLwYwhy8RrXA
LuaRocks,The package manager for the Lua programming language,Programming Languages and Development Tools,"lua ,  lua , luarocks","programming tools , programming language , package management",1,http://luarocks.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5624527572697088/,lh3.googleusercontent.com/9rIhv2IzXuF4MxqM1aBqTyTknFw_M3lCvPqUq4CeJTqxze5qZcE18tcnaESd64iw9_sO0Z3V0whMa6LUfIU1lZOgZnxHRoI
MariaDB,One of the most popular databases on the web with many notable users,Data and Databases,"mariadb , mysql , c , c++ , java",database,1,https://mariadb.org,https://summerofcode.withgoogle.com/archive/2017/organizations/4752192066027520/,lh3.googleusercontent.com/p4iPQ-wqOkHf7VKTHqMxaai-WNM4489_8f94bDi4Nke6v83vX_G3q-APyJzs1bQs2e4rKRtaT7EmtqT96tP79XK4hO61tw
Matrix.org,An ambitious open source project creating a new decentralised comms ecosystem.,Social / Communications,"react ,  android , ios , golang , nodejs"," real time , communication , collaboration , decentralisation , interoperability",3,https://matrix.org,https://summerofcode.withgoogle.com/archive/2017/organizations/6700587336859648/,lh3.googleusercontent.com/WBhR4h-aEjQBcb-2lHWyFpIrdJdjdYteemzupMjD-aFiQa56CbdZEEr2Hr_J2QPhJYHOe438f7b_UtJytVm_f6zlIQNue10
MBDyn,High fidelity multibody dynamics engine with extended capabilities,Science and Medicine,"c++ , python","engineering , science , numerical methods , aerospace , mechanics",2,http://www.mbdyn.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/6633793616084992/,lh3.googleusercontent.com/N4CUGfHbPXYMLR42AV09UMk94-E5Y8cGu5vaAnDHXbz5z_6OmX4uul-7EswcdWhEJD0M_f59g7I9JEWHHcmSNsB67HlBbxve
MetaBrainz Foundation Inc.,MetaBrainz operates MusicBrainz and a number of related open data projects.,Data and Databases,"postgres , perl , python , javascript , bigquery","music , data , big data , open data , community",5,http://metabrainz.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5723792051535872/,lh3.googleusercontent.com/qZLoNlICnffNGh_i7PolRUX2qYh-Pu-s9gfV3bI9bkkM2YHiVtLAOGjaRuayi6LB09tiJyRXMAQAQT-mjt88O6axQs0i9Kql
Metasploit,Open Source framework for exploit development and penetration testing,Security,"ruby , c , asm","security , exploitation",2,http://metasploit.com,https://summerofcode.withgoogle.com/archive/2017/organizations/5632986779222016/,lh3.googleusercontent.com/AJly1rcZCcbTGu9BHMnCo45SkNIljiBdomdGPlX5dW0E04MAO7Ue-G_2unkRoYslPqARzPOuOFgIcWIYXdJolWBKf1QQA94
Microkernel devroom,"Confederation of microkernel projects (Genode, HelenOS, GNU Hurd, MINIX, Redox)",Operating Systems,"c , c++ , rust , arm , x86","microkernel , components , ipc , desktop , virtualization",3,http://www.microkernel.info/,https://summerofcode.withgoogle.com/archive/2017/organizations/5026327212064768/,lh3.googleusercontent.com/XeXZIspaZAf8QZNUxWJBehgrnCcvKiy5WIAja2N9AEGcaQC81kS1lzPkh38BYkJJMkPBVTUmAvMoBAAMnQX-Lw-AgxE19Ab0
Mifos Initiative,End Poverty One Line of Code at a Time,End User Applications,"java , android , angularjs , spring , mysql","fintech , mobile banking , digital financial services , microfinance , financial inclusion",10,http://mifos.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5486404108812288/,lh3.googleusercontent.com/MhbfOJUdZ-yYSTxBM3jiTh8GBSA2ritD8FSfCMwyB3Flv6gZCvMo-crkhZLrIQNAUmRk203Ufht0DrPrC-yEkjZdjwHAaMo
MIT App Inventor,Empowering anyone to make their world a better place,Programming Languages and Development Tools,"java , javascipt , app , google app engine , gwt","mobile apps , api , blockchain , education , iot",4,http://appinventor.mit.edu/,https://summerofcode.withgoogle.com/archive/2017/organizations/6712150730997760/,lh3.googleusercontent.com/zjSf9bi_EsbRhVgk8gwyqkbIxrlxhNOT8WLvZuy4aLCZSiZumgLD6Wc2g9nPJZk5Bkqrz0OtNy6_wx0cPFUq4JIqfbV40HTi
Mixxx DJ Software,DJ Your Way. For Free.,Graphics / Video / Audio / Virtual Reality,"qt , c++ , c++11 , midi , hid","audio , dsp , music , dj , art",2,http://mixxx.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/5298974017716224/,lh3.googleusercontent.com/y66G7cyFoEB-ny79vPLICRV0IS4r-AJZ-9Xbot5l8rBubSjBj66k9KVqL_jko94yVq4Z9b2Et94BjEVs-X8wV8kqu_x8-5Y
mlpack,a scalable C++ machine learning library,Data and Databases,c++,machine learning,10,http://www.mlpack.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/5584462775582720/,lh3.googleusercontent.com/X8hF1Iz5fdFuR_T9k8AZ6DZc-kfN-xgFdl5VJ3PZPpmUAIuAswKbTX2uUZ-n8nmLQec0-yjkKABI3Ta5dSpWYSkfOiTr7i8
Mobile Robot Programming Toolkit (MRPT),Mobile Robot Programming Toolkit: empowering C++ development in robotics,Science and Medicine,"qt , c++ , opengl , wxwidgets , ros","robotics , slam , computer vision , webapps , algorithms",4,http://www.mrpt.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/5289044053327872/,lh3.googleusercontent.com/HUlOL_akwzwxvNBdVjKh3rRyiKJx-nRWohZdMJ_754x6zERDWxHtBEFmzvWV0Rj4sUnmSTires4v0qWOkHoHvDMm0suWgAA
Mono Project,Cross-platform C#/F#/.NET runtime and tools,Programming Languages and Development Tools,"c# , .net , f# , c","compiler , ide , mobile development , web development , programming tools",9,http://www.mono-project.com/,https://summerofcode.withgoogle.com/archive/2017/organizations/4814565460148224/,lh3.googleusercontent.com/Wnx2UKIIjXTvvrIgRrPHvnIbw6WXjSbBGOleTchd-Kv0D9gbrdmf21-x9IpyXYONEza_KVi1TkwcIiyUpn8kOQV2wD3PGmo
Moodle,The world's open source learning platform,Social / Communications,"php , jquery , mysql , postgresql ,  javascript","education , web application , e-learning , school system , learning management",1,https://moodle.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/5171600185884672/,lh3.googleusercontent.com/cNaaZ8_ej_R3YA-Pa3rZ75ksisMW6aew7zGuyBZNBWLDW89rM_t-y0DclFPY8TVFR9f2iM1XlMySjIfBv_EQ9sLBqmd83g
MovingBlocks,Terasology: like an open source Minecraft - imagine the possibilities!,End User Applications,"java , opengl , blender , json , gradle","games , voxel , minecraft , sandbox , modding",10,http://www.terasology.org,https://summerofcode.withgoogle.com/archive/2017/organizations/4985951029821440/,lh3.googleusercontent.com/ZvhRcRIvX4zHr3Ola_C5IoWy0Im6Dlep3FbA7bqW04GuChw4kpOPYG6sR53dhLfz0Nxf7_Pm1sapOAikGdv5fx3mAIOG8wg
Mozilla,"Internet for people, not profit.",Web,"js , rust , html/css , c++ , python","web ,  web platform and services , education , web browser",21,https://www.mozilla.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/6414943960170496/,lh3.googleusercontent.com/gV8U7f42_azvTQhIoQraelwUwscd2nzYx73X4MThhqrlFaLwbsdsI8DiuCyDkIvNZt68K3zFHM952dtXNJ_itbmJYO6-5w
MuseScore,Free and open-source music notation software,Graphics / Video / Audio / Virtual Reality,"c++11 , qt5 , qt , breakpad","music engraving , music , midi , sheet music",3,https://musescore.org,https://summerofcode.withgoogle.com/archive/2017/organizations/4738118800375808/,lh3.googleusercontent.com/YcK6wPECmZZUzjaUu1h7U1mlGKXgN7u893khGUdMBXW65xOsf2F5kIGpOu45_6bBNXvOREGrxNW00abmXzwLb0TjaOrC_8w
National Resource for Network Biology (NRNB),Developing open source software to enable network-based biomedical discovery,Science and Medicine,"java ,  javascript , python , php , c++","network biology , graphics , web , ui/ux , database",20,http://www.nrnb.org/gsoc.html,https://summerofcode.withgoogle.com/archive/2017/organizations/6499778154201088/,lh3.googleusercontent.com/CDFrm3jmC0RWKdTU5d1tKdTho8hhJFTyu9dWbzNjRL7bwe6eTwX1k3fQAfAB81XK3koMJ9pYE3un1aROiSYXcz1QwE43q4I
Netfilter project,FOSS community-driven project that provides firewalling tools for Linux,Operating Systems,"linux , kernel , c","firewall , networking",2,http://www.netfilter.org,https://summerofcode.withgoogle.com/archive/2017/organizations/6602954140286976/,lh3.googleusercontent.com/oaJnMbZY1omAC2NPmr0FdyhME582EygGU5dR8j_pSXrMHyEh_GZDVO-uVIww0LoXOW26e-l2tbE9gr0Ugl0MLgE6lrM81cQ
Nmap Security Scanner,Swiss Army knife of network discovery and security auditing,Security,"c/c++ , lua , python , c , c++","security , networking , ipv6 , linux , network mapping",4,https://nmap.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/5603880054292480/,lh3.googleusercontent.com/lQ6DoH3aMVO2MR3rpw0gAQNFybSqZ1VkFXb1rBy0GAtKT0Xm-PM-Vdq3hY29BlgkIVphh_YeZP-oBL4g45yhpzPDupN7Qg
NumFOCUS,NumFOCUS promotes open source scientific software.,Science and Medicine,"python , javascript , r , c/c++","scientific computing ,  numerical computation ,  graphics ,  data science",10,http://www.numfocus.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/6630791836598272/,lh3.googleusercontent.com/Wi0Yt8t7odMwPj30_48NJCj9A8wQAniNl8kNa5huXs5Y0nDESnKKUCdezvK5izynm7yg9hHE9_1JPnBxWfeiBUm6JAfbN64
Open Bioinformatics Foundation,Promoting practice & philosophy of OSS & Open Science in biological research.,Science and Medicine," python , perl , java , c++ , c/c++",bioinformatics,7,https://www.open-bio.org/wiki/Main_Page,https://summerofcode.withgoogle.com/archive/2017/organizations/6098536001175552/,lh3.googleusercontent.com/G0btWyuJT_OA6O63RjBgc0sXt-rv9HtsZo-bNyY2exbQHkmoQ5vcDd1jU3VefHxSTiw_Rr9HhwUmlC5viExN0e8msNScHg
Open Chemistry,Advancing Open Source and Open Science for Chemistry,Science and Medicine,"python , c++ , opengl , javascript , java","scientific visualization , graphics , chemistry , data science",6,http://www.openchemistry.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5928781713768448/,lh3.googleusercontent.com/SiZkvMl6HFXMVadYocyXaywo53aIFPwjdd0_DmCREXCGcSeJy2aX40Vy2t5Vqv0XU-yNu7F7wg0kwE7coP_voqOiW5sPKFY
Open Data Kit,Open Data Kit is used to collect data for social good in difficult environments.,End User Applications,"android , java , python , javascript , ruby"," mobile , cloud , global development , global health , social good",1,https://opendatakit.org,https://summerofcode.withgoogle.com/archive/2017/organizations/4593100034932736/,lh3.googleusercontent.com/l42QYXCtLJdNoRvjNUDV3TXH7zkuOShjpQ4NzbYB2oX-59SUrVBmbH9Aul11-tevyyPsApGUEB9K_voJEXMBnWf8dBzOK44
Open Detection,Open Detection is a open source project for object detection and recognition.,Other,"c++ , caffe , pcl , opencv","computer vision , ai",2,http://opendetection.com,https://summerofcode.withgoogle.com/archive/2017/organizations/6015282623545344/,lh3.googleusercontent.com/iQnB3bLxuBT0oQgjrJtWgD6FjJpenOT8crAYRRDnwfkBxDMqEVIFqaba4lPfNSCPCKeWyu1Lf0orHbVQ_EaSL8dA8NiY6g
Open Genome Informatics,Open Genome Informatics represents the efforts of many bioinformatics projects.,Science and Medicine,"python , java , javascript , nodejs , gwt","bioinformatics , data mining , genome , databases , computational biology",8,http://gmod.org/wiki/GSoC,https://summerofcode.withgoogle.com/archive/2017/organizations/4997812655751168/,lh3.googleusercontent.com/mU1RDk7MvnoywJn51IgSnFSzRBlE4KcQx0qvX2SbEXmh6QmEYO6FX3bHYZUiiQTgkF2ztN3VbpkJEF-NomW_LCuHuxGCAg
Open States,Opening State Legislatures,Other,"python , django , javascript , postgresql","government , web , journalism , civic",1,https://openstates.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5076494711783424/,lh3.googleusercontent.com/oTnp3kLMh4OizCVQx-tGblJCvAZhXJppgmrIXhdpIYcSICHWwETHJFhjTPlFDi9kHP_JVUPLFk0WiE8nTqsfybWe6fKHFw
Open Technologies Alliance - GFOSS,Promote Openness through use and development of Open Standards and Technologies,Other," php ,  java ,  mysql ,  virtuoso , python","data , cloud , hardware",4,http://www.gfoss.eu,https://summerofcode.withgoogle.com/archive/2017/organizations/6266968780832768/,lh3.googleusercontent.com/k9dBEsZOew3V-uGpacH4loWxNBKa3TVTP9zk0F4xj_MlFCFVieTo-3V7QASFztyGaVf97Xi764CafgRKDiQ6Y87MAGkv-Fo
OpenAstronomy,Opening the eyes of research astronomy software to the whole world.,Science and Medicine,"python , julia , qt","visualisation , data science , astrophysics , solar physics",8,http://www.OpenAstronomy.org,https://summerofcode.withgoogle.com/archive/2017/organizations/6563063020912640/,lh3.googleusercontent.com/k97j4nu_jYtIPGDm0_CGWlcchojQzSJ-1Xy8lqKLTYV7smiai61bIQryKr98QqlgQkpmEtYOx7Er9G_F4RtmC96jd1Zqbg
OpenCV,Open Source Computer Vision and Machine Learning Library,Graphics / Video / Audio / Virtual Reality,"vision ,  deep learning ,  c++ ,  python","computer vision ,  deep learning ,  robotics ,  virtual reality ,  real time",15,http://opencv.org,https://summerofcode.withgoogle.com/archive/2017/organizations/6424873924558848/,lh3.googleusercontent.com/Yiody1kLVKupF99Qq0RKTzC2QWy0fATtVGo-bRiR-LrDKzkT_Yn8MWXVxWJubelvPko_Svm51mZhgs0erqFEp1jGg6_0DA
OpenMRS,Write Code. Save Lives.,Science and Medicine,"java , javascript , html/css , hibernate , mysql","clinical , developing world , medical records",15,http://www.openmrs.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/6111850936664064/,lh3.googleusercontent.com/A017Q1uXQvk-YfW9c0KWoL8twfKpw-dqOi3ecFWZxjBt2jaCuavkz1LSkexc3bE7U9XCNWb0xtG7p85d2a1tn_H-XnnP2A
OpenStreetMap,OpenStreetMap - Creating and distributing free geographic data for the world.,Data and Databases,"postgis ,  java ,  ruby ,  javascript","gis ,  maps ,  crowdsourcing ,  geoinformatics",5,http://www.openstreetmap.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/6746951777255424/,lh3.googleusercontent.com/cvbO37qIACZhlfNEp1qR64SB0poBi7BMOALOHt9VMB5kXRlgBwurpcsBU_fvXshB8eUSKq-WC96gc8LPPTosNeR4xeBTvQ
openSUSE,"The makers' choice for sysadmins, developers and desktop users.",Operating Systems,"ruby on rails , javascript  , docker , linux , angular.js","linux distribution , web development , realtime , virtualization , conferences",5,https://opensuse.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/6729779961135104/,lh3.googleusercontent.com/4HIku5FivMC5UwHbGJ_-BVeUxwfFhA5ZkKr_u7JC-Rk5Hf63teRpjiQBixAVxnM6KNOTj2W6bYh3PadJcQRnQuLYlmY-kw
OpenWISP,Open Source solution to build and manage wifi networks,Web,"python , django , javascript , openwrt , raspberry pi","networking , wireless , configuration management , telecommunications , web",5,http://openwisp.org,https://summerofcode.withgoogle.com/archive/2017/organizations/4763591446102016/,lh3.googleusercontent.com/--u1VxOKOF1MV64kY2wRdG6g1_wlidSOXAHqjigTogQ0RQdNXKnXXu8tO5kAzSX1te5I3QZk4wZobbMWbsJfOAXk8m5T8H0
Oppia Foundation,Oppia is a tool for collaboratively building interactive and intelligent tutors.,Web,"python , google app engine , angularjs , javascript , css","education , interactive , web , tools , community",3,https://www.oppia.org,https://summerofcode.withgoogle.com/archive/2017/organizations/6040525891174400/,lh3.googleusercontent.com/rRDAR75xpdPsPiGSxfDuyP1pGmgJTKxcAEnPTpvfE7omfNU-a6C4TnyJ2JgLly_i9_8ayEUIMUj1HTlwcsCExwikLmTbeQs
OSGeo,Open Source Geospatial Foundation,End User Applications,"c++ ,  python ,  c ,  sql , java","gis ,  cartography ,  maps ,  science ,  geospatial",13,http://www.osgeo.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/4554340639440896/,lh3.googleusercontent.com/0zY-jMP7tGTqrTUhVRwxyx9n_o6SMWBoE4GTihlfQkXRIBJ9n16otYfTuRmygk6tBE_vFSfDMfQZfYbhfX6_3ucPZiwy4yyk
oVirt,Open virtual datacenter management for all,End User Applications,"java ,  python , kvm","virtualization , enterprise application",2,http://www.ovirt.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5718999941775360/,lh3.googleusercontent.com/W_PtFwhzkdm5Dfr1awr7uSKqbMoWtpUVdlp9gLzlRfQkQyL_dcULt1xsZE8616k8kFuTJcn2hAPgywWiLACcTK5kCSs7Zg
ownCloud,A safe home for all your data,Cloud,"php , qt ,  android , ios , javascript","cloud , sync , file share",3,http://owncloud.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5721528872206336/,lh3.googleusercontent.com/DfB90GrSxjjUVgE4ye84i6KbkUQVUkzoIJtpZfqCkHbRuIbf9h4Twj6DKYU4ul4zJHk01UKjz7NGXRfJ9NcIDcH1uMhxCqE
P2PSP.org,Shaping the future Internet TV,Graphics / Video / Audio / Virtual Reality,"c++ , python , qt , sockets , webrtc","p2p , multimedia , streaming , security , video",2,http://p2psp.org,https://summerofcode.withgoogle.com/archive/2017/organizations/6195936732643328/,lh3.googleusercontent.com/H9208Klu8hxsUJPgPyNC9Ea6bKjvX9YZkCPS4bV1EF3tkan04q5u8-lwMowJIRpgvrWcDRnnzPh7Rt8dWz3175i71z1hwW36
PEcAn Project,Develop accessible tools for reproducible ecosystem modeling and forecasting,Science and Medicine,"r ,  php , postgresql , javascript  , c","ecosystem models , ecological forecasting , scientific visualization , data science , climate science",3,http://pecanproject.github.io/,https://summerofcode.withgoogle.com/archive/2017/organizations/4773366791667712/,lh3.googleusercontent.com/NlUBSPbXP9cQqsn4Gy_oKUJj3H3R_-NVduMtv3X-Nu__AWFSFyw-_k54hDXdwtJ8Fi7RoPRBuP1KIEisBSg4m0oLTrftPg
Performance Co-Pilot,System-level performance analysis toolkit,Operating Systems,"python , javascript , c , linux , windows","high performance computing , visualization ,  web development , kernel , performance",5,http://pcp.io,https://summerofcode.withgoogle.com/archive/2017/organizations/5840169290694656/,lh3.googleusercontent.com/PQdIfO2y0F5p09c9eT_3e6ugOHIpSbQa--YnkLQBkOawlljH4iT0qgITGwvLzECIcpiNLLqw7toAP1RzzJ0VsGOWtD3y6mQ
Pharo Consortium,Pharo: The Immersive Programming Experience,Programming Languages and Development Tools,"smalltalk , roassal , polymath , pharo","object oriented programming , dynamic environment , data science , user interface , ide",5,http://pharo.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/5691803940421632/,lh3.googleusercontent.com/k0wTYgDp-KB4HmiGow-0HSfzWNUp_BV1Zkwk9d4lVzohlR3qfI0IzyIEnUmgLGxnNO-IHEAvw1TQng6E6jQwAht5P157yg
phpBB Forum Software,phpBB is the most widely used free and open source forum software,Social / Communications,"php  , mysql , javascript , symfony , css","social , communication , collaboration , forum , community",2,https://www.phpbb.com,https://summerofcode.withgoogle.com/archive/2017/organizations/5715998162288640/,lh3.googleusercontent.com/z4Bw8NrPhbTTZ3iOhn9tUkhJQE8-VJj2tL8isX9EshHXfwkBGH7LYErTEhfOVtHiOPtWdgUsGmojaoAVMee82_lew45rUxQ
phpMyAdmin,A web interface for MySQL written in PHP,Data and Databases,"php , mysql , jquery , javascript , cakephp","database , mysql , developer , administrator , web application",3,https://www.phpmyadmin.net,https://summerofcode.withgoogle.com/archive/2017/organizations/5535586047754240/,lh3.googleusercontent.com/5P06_Sp0FVRrO-VN3D7kOP3xIAQwkpPmUr9Jg3n9T6-jpWOGef7RaHF7u7EIuVrn8JfLncVcuqEp7r1Pa0f4Yk0uevlN9lo
Physical Web Project,Physical Web GSoC project based on the Physical Web,Other,"beacon , web bluetooth , physical web , bluetooth","internet of things , beacons",5,http://physical-web-project.github.io/,https://summerofcode.withgoogle.com/archive/2017/organizations/6491731667189760/,lh3.googleusercontent.com/4louIdBvWdQ5Jz_c-9lYN8p0OjZKSZ6DJoCPgBlqdyRI5UjJ8PmrYew-CWgjBlIJm_8NJnlv0Wsn6zvHvp4WASe07-0UCg
Plone Foundation,The premier python-based open source CMS,Web,"python ,  javascript , html/css"," content management , cms",4,https://plone.org,https://summerofcode.withgoogle.com/archive/2017/organizations/4530756705583104/,lh3.googleusercontent.com/QCoHOee49c1CKl-HiBvGvdtOQvVMrhFW8A5G9fvOcAGf9alQlHVQiNSusEJZuY9HddzsLlOeve549VEWYo-xU97o_qirjkw
PMD,An extensible cross-language static code analyzer.,Programming Languages and Development Tools,"java , javacc , xml , antlr , xpath","code quality , source code analyzer , code analysis , linter",2,https://pmd.github.io/,https://summerofcode.withgoogle.com/archive/2017/organizations/5158578918785024/,lh3.googleusercontent.com/Vubc5vjB--L-00zjtqS4no0NiuvzntQJQY6Ejn5DDS4N4CJDNNNqgMvhKX-djFHBrONMSqerdRRDW-BRLrFUwWYdYtLc32c
Polly Labs,Promoting Polyhedral Compilation,Programming Languages and Development Tools,"llvm , integer set library , ppcg , pencil , polly","polyhedral compilation , parallelization , program verification , optimization , fpga",1,http://www.pollylabs.org,https://summerofcode.withgoogle.com/archive/2017/organizations/4788561849090048/,lh3.googleusercontent.com/zRSoYfZa7Wx6lQzLq8MO_QkpWtZbVCP5jf3ZIUxStrDtEMI2QjRc5F8sueJR5gArWMgR4EdAe42nktNPVUgcCs-Bi_8U_aDL
Portland State University,Individual and Academic Open Source,Other,"open hardware , language-agnostic","new projects , academic projects , individual projects",7,http://wiki.cs.pdx.edu/psu-gsoc,https://summerofcode.withgoogle.com/archive/2017/organizations/5827042528460800/,lh3.googleusercontent.com/sAIPHC0hT4utSZW0pR7kqUAbtNkZZJivcSJZrbA15Cs6adP4oxthezndn2EffbpBLBN-2lSyz-pHYjqiIvfZAqMrUWClvnw
PostgreSQL,"PostgreSQL is a powerful, open source object-relational database system.",Data and Databases,"postgresql , c , perl , sql","database , rdbms",4,https://postgresql.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5443503559540736/,lh3.googleusercontent.com/fOqj5WqGB9B9zsoMdSkR7nZaGgqSp6i8uZ2lSDkvpRfnnl_zWTnaBaTuabq51FpZMMgN61d9pMgF8e0I2o4adG_O30Do_I0u
Public Lab,Open hardware and software to help communities measure and analyze pollution,Other," javascript ,  ruby , ruby on rails","environment , pollution , hardware , science , community",5,https://publiclab.org,https://summerofcode.withgoogle.com/archive/2017/organizations/6029803371102208/,lh3.googleusercontent.com/MwbL7vWbFjDEufppCnooCkSgHO689b_BI-N1qS1JW_sWlhUpWF3Pe1Rl_4jFI9RfdaJ0edLtXCwzFLYOkteMpFpyKLWr881y
Python Software Foundation,Python is a programming language used by scientists & software developers alike.,Science and Medicine,python,"hardware , programming languages ,  science",29,https://www.python.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5370985721102336/,lh3.googleusercontent.com/6MpqlrxDIIVeuWIHdu3k8Gm6qrcYqQ_UnAkrL69wL4w-hZ64l7kNrVtm4x_pUOy_XSil2UTXrIoHX9CEb_NqUmTInclq5Xw
QEMU,Open source machine emulator and virtualizer,Other,"c , python","compiler , virtualization , emulation , hypervisor",4,http://qemu.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/4782716667035648/,lh3.googleusercontent.com/78cLfhQzz12zr-SfaHTL3LLIoATw7g3etAKkMHyaYtyDwMxpjSFcqX4qUcmiTZWlLgB3CqncbvnSa6hEAbT5m1uQ72JtTQ
Qubes OS,A reasonably secure operating system,Operating Systems,"c , python , shell , xen , linux","security , privacy , virtualization , operating system",2,https://www.qubes-os.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/5074771758809088/,lh3.googleusercontent.com/ZnOVM9SzAVwGiqTWAw-cZJiQtAKDR1bD3MdaVvxq7CstlW3Ph00wRX21AyiKrsKK84-s-2vDAgY8PS_MBvoKAfiHcXfGuqE
R project for statistical computing,R is a free software environment for statistical computing and graphics,Programming Languages and Development Tools,"r-project , c , c++ , fortran , javascript","data science , visualization , machine learning , statistics ,  graphics",33,https://www.r-project.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/5555424770129920/,lh3.googleusercontent.com/ZI5ThwOwjeTwKrtxLwQj4s6mQOYrEv10k9xMy-VitlecR5gnM6lq_uHBf1pVTTe55hG7Ce0IaXn82jRyUSArCUtltuJB78pD
radare2,Radare2 reverse engineering framework and toolset,Security,"c , rust , python , nodejs",reverse engineering,3,http://radare.org,https://summerofcode.withgoogle.com/archive/2017/organizations/4795019735072768/,lh3.googleusercontent.com/VVN5lpkxKUbYGUnBJ7HpHRnD6U8JK1hj_JhN6pxVAfRIOlISX0O0tU5m35EuMxGoR10prC4G-mOFsVLsSWR4iozUEhj3jA0
ReactOS,"ReactOS is a free, open source, Windows compatible operating system.",Operating Systems,"c , c++","operating systems , drivers , desktop , kernel , windows",4,https://reactos.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/6057879303880704/,lh3.googleusercontent.com/aVjZ3TEaRQjkhtt2_lPztvbrrCLmAJk6ViAjMMEgu0prlZLjTkh8ZJ9BVdHbiiQl3Ubi59s2L0aGCFq6OqTE8P89u473A38
Red Hen Lab,Research on Multimodal Communication,Science and Medicine,"high performance computing , machine learning , opencv , audio processing , multimodal analysis","natural language processing , co-speech gesture , big data visualization , deep learning , multimedia",9,http://redhenlab.org,https://summerofcode.withgoogle.com/archive/2017/organizations/6645492838563840/,lh3.googleusercontent.com/UY6NntUG3C_iAxyR5tkKLd7B87nvYVQAS7YqHlWEriO764Wg_NYl88CDLIJmulGiOLRxCH3dBF0-5YX5MTInXWrxouV8xVnQ
RoboComp,A simple robotics framework.,Other,"c++ , cmake , python , openscenegraph , qt","computer vision , robotics , robotics simulation",9,http://robocomp.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5477575937753088/,lh3.googleusercontent.com/TLSFajTMYU9aSS2hWuYGRN5BksO7-T-daan9xC0WK6lQpSEb7w6XfvlomYmhg9FvXhgoMq2aqenLQ75-yT-nAo1Sk5thWjY
